algoritmo;lenguaje;tamaño;tiempo
ShakerSort;Java;10000;0,0704
DualPivotQuickSort;Java;10000;0,0023
HeapSort;Java;10000;0,0019
MergeSort;Java;10000;0,0021
RadixSort;Java;10000;0,0040
ShakerSort;Java;100000;9,2085
DualPivotQuickSort;Java;100000;0,0061
HeapSort;Java;100000;0,0120
MergeSort;Java;100000;0,0102
RadixSort;Java;100000;0,0184
ShakerSort;Java;1000000;0
DualPivotQuickSort;Java;1000000;0,0729
HeapSort;Java;1000000;0,1391
MergeSort;Java;1000000;0,1472
RadixSort;Java;1000000;0,1473
