algoritmo;complejidad;lenguaje;tamaño;tiempo
BinarySearch;O(log n);Java;10000;0,00004764
JumpSearch;O(sqrt(n));Java;10000;0,00000163
TernarySearch;O(log n);Java;10000;0,00000129
BinarySearch;O(log n);Java;100000;0,00000190
JumpSearch;O(sqrt(n));Java;100000;0,00000111
TernarySearch;O(log n);Java;100000;0,00000177
BinarySearch;O(log n);Java;1000000;0,00000050
JumpSearch;O(sqrt(n));Java;1000000;0,00000110
TernarySearch;O(log n);Java;1000000;0,00000218
