algoritmo,lenguaje,tamaño,tiempo
BinarySearch,Python,10000,4.365000004327157e-06
JumpSearch,Python,10000,7.200000072771218e-07
TernarySearch,Python,10000,7.124000003386754e-06
BinarySearch,Python,100000,3.7229999907140153e-06
JumpSearch,Python,100000,1.1889999950653874e-06
TernarySearch,Python,100000,2.0330000006651973e-06
BinarySearch,Python,1000000,4.560000015771948e-06
JumpSearch,Python,1000000,5.620000047201757e-07
TernarySearch,Python,1000000,2.3449999935110098e-06
